index,Date Taken (America/New_York),Time Taken (America/New_York),Time Spent,Current_Role,Did you switch careers into Data?,Current Salary(USD),Industry,Programming_Language,Happiness_Index(Salary),Happiness_Index(Work/Life Balance),Happiness_Index(Coworkers),Happiness_Index(Management),Happiness_Index(Upward Mobility),Happiness_Index(Learning New Things),How difficult was it for you to break into Data?,"If you were to look for a new job today, what would be the most important thing to you?",Gender,Country,Education,Ethnicity,Salary,Age_group
19,6/10/2022,8:49,0:01:21,Data Analyst,No,0-40k,Aviation,Python,Very unhappy,Very unhappy,Very unhappy,Very unhappy,Unhappy,0.0,Very Difficult,Better Salary,Male,Nigeria,Others,Black or African American,20.0,26-30
20,6/10/2022,8:49,0:01:23,Data Analyst,Yes,41k-65k,Finance,Python,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,5.0,Easy,Remote Work,Male,Kenya,Others,Black or African American,53.0,26-30
21,6/10/2022,8:50,0:01:35,Data Analyst,Yes,106k-125k,Tech,SQL,Ecstatic,Somewhat happy,Ecstatic,Happy,Ecstatic,10.0,Neither easy nor difficult,Remote Work,Female,United States,Others,White or Caucasian,115.5,31-35
22,6/10/2022,8:51,0:01:25,Data Analyst,Yes,0-40k,Healthcare,Python,Somewhat happy,Happy,Extremely happy,Extremely happy,Very happy,1.0,Neither easy nor difficult,Remote Work,Male,Azerbaijan,Others,White or Caucasian,20.0,26-30
23,6/10/2022,8:51,0:01:47,Data Analyst,No,0-40k,Finance,Python,Neutral,Neutral,Neutral,Neutral,Neutral,4.0,Neither easy nor difficult,Better Salary,Male,Argentina,Others,Hispanic or Latino,20.0,31-35
24,6/10/2022,8:51,0:02:14,Data Analyst,No,0-40k,Tech,Python,Very happy,Extremely happy,Extremely happy,Extremely happy,Somewhat unhappy,8.0,Easy,Better Salary,Male,Sudan,Others,Black or African American,20.0,21-25
25,6/10/2022,8:51,0:02:21,Data Analyst,No,0-40k,Tech,Python,Neutral,Happy,Happy,Happy,Very happy,7.0,Easy,Good Work/Life Balance,Male,India,Others,Asian or Asian American,20.0,31-35
26,6/10/2022,8:52,0:02:07,Data Analyst,No,66k-85k,Insurance,SQL,Very happy,Ecstatic,Somewhat happy,Somewhat happy,Somewhat happy,2.0,Difficult,Responsibilities,Male,United States,Others,White or Caucasian,75.5,21-25
27,6/10/2022,8:52,0:01:20,Data Analyst,Yes,106k-125k,Energy,Python,Very unhappy,Happy,Overjoyed,Very unhappy,Extremely unhappy,2.0,Difficult,Remote Work,Female,United States,Others,Asian or Asian American,115.5,31-35
28,6/10/2022,8:52,0:01:34,Data Analyst,No,86k-105k,Healthcare,Other:Qlik sense script,Happy,Very happy,Very happy,Very happy,Very happy,4.0,Very Easy,Better Salary,Male,United States,Others,White or Caucasian,95.5,41-45
29,6/10/2022,8:52,0:01:34,Student/Looking/None,Yes,0-40k,Oil and gas,R,Extremely unhappy,Extremely unhappy,Somewhat happy,Extremely unhappy,Extremely unhappy,0.0,Very Difficult,Remote Work,Female,Nigeria,Others,African,20.0,21-25
30,6/10/2022,8:52,0:01:47,Student/Looking/None,Yes,41k-65k,Finance,Python,Ecstatic,Very happy,Ecstatic,Ecstatic,Somewhat happy,3.0,Very Difficult,Good Work/Life Balance,Male,United States,Others,Black or African American,53.0,31-35
31,6/10/2022,8:53,0:01:38,Data Analyst,Yes,66k-85k,Finance,Python,Somewhat happy,Happy,Very happy,Somewhat happy,Neutral,4.0,Neither easy nor difficult,Development,Male,United Kingdom,Others,White or Caucasian,75.5,31-35
32,6/10/2022,8:53,0:03:30,Data Analyst,Yes,0-40k,Other (Please Specify),Python,Extremely happy,Very happy,Extremely happy,Very happy,Very happy,7.0,Difficult,Good Work/Life Balance,Male,India,Others,Asian or Asian American,20.0,21-25
33,6/10/2022,8:54,0:01:37,Data Engineer,No,125k-150k,Tech,SQL,Extremely happy,Ecstatic,Ecstatic,Overjoyed,Overjoyed,9.0,Easy,Better Salary,Male,United States,Others,White or Caucasian,137.5,41-45
34,6/10/2022,8:54,0:02:08,Data Analyst,No,41k-65k,Finance,Python,Unhappy,Somewhat unhappy,Somewhat happy,Somewhat happy,Somewhat happy,5.0,Difficult,Better Salary,Female,Canada,Others,South Asian,53.0,26-30
35,6/10/2022,8:54,0:03:54,FP&A Analyst,No,41k-65k,Automotive,Python,Somewhat happy,Ecstatic,Extremely happy,Extremely happy,Extremely happy,7.0,Neither easy nor difficult,Remote Work,Male,Japan,Others,White or Caucasian,53.0,31-35
36,6/10/2022,8:54,0:02:28,Power BI Developer,No,0-40k,Tech,Python,Unhappy,Overjoyed,Very happy,Very happy,Somewhat happy,6.0,Difficult,Better Salary,Male,Greece,Others,White or Caucasian,20.0,31-35
37,6/10/2022,8:55,0:01:33,Data Analyst,Yes,86k-105k,Healthcare,SQL,Somewhat unhappy,Somewhat happy,Happy,Neutral,Neutral,5.0,Neither easy nor difficult,Better Salary,Male,United States,Others,White or Caucasian,95.5,26-30
38,6/10/2022,8:55,0:00:56,Data Analyst,Yes,0-40k,Automotive ,Python,Somewhat unhappy,Very unhappy,Somewhat unhappy,Unhappy,Somewhat unhappy,1.0,Neither easy nor difficult,Good Culture,Male,Peru,Others,Hispanic or Latino,20.0,21-25
39,6/10/2022,8:55,0:02:38,Student/Looking/None,Yes,41k-65k,Construction,Python,Unhappy,Extremely unhappy,Unhappy,Unhappy,Extremely unhappy,0.0,Very Difficult,Remote Work,Male,United States,Others,White or Caucasian,53.0,31-35
40,6/10/2022,8:57,0:01:52,Data Analyst,Yes,41k-65k,Utili,Other:Power bi,Somewhat happy,Happy,Happy,Somewhat happy,Neutral,6.0,Very Difficult,Better Salary,Male,Australia,Others,Indian,53.0,41-45
41,6/10/2022,8:57,0:02:03,Student/Looking/None,Yes,0-40k,Not working yet,JavaScript,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,0.0,Difficult,Remote Work,Female,United States,Others,Asian or Asian American,20.0,36-40
42,6/10/2022,8:57,0:02:32,Student/Looking/None,No,41k-65k,Telecommunication,Python,Somewhat unhappy,Very unhappy,Somewhat unhappy,Neutral,Extremely unhappy,3.0,Easy,Good Work/Life Balance,Male,Spain,Others,White or Caucasian,53.0,41-45
43,6/10/2022,8:58,0:02:39,Student/Looking/None,Yes,0-40k,Construction,Python,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,0.0,Very Difficult,Better Salary,Male,Kenya,Others,African,20.0,21-25
44,6/10/2022,8:59,0:01:11,Student/Looking/None,Yes,0-40k,Education,Python,Somewhat happy,Somewhat happy,Somewhat unhappy,Somewhat happy,Unhappy,6.0,Difficult,Better Salary,Male,Japan,Others,Asian or Asian American,20.0,21-25
45,6/10/2022,8:59,0:03:55,Data Analyst,Yes,86k-105k,Manufa,Python,Extremely happy,Happy,Unhappy,Somewhat unhappy,Happy,7.0,Neither easy nor difficult,"Strong organizational data strategy, high-performing team",Male,United States,Others,White or Caucasian,95.5,26-30
46,6/10/2022,9:00,0:01:25,Data Analyst,No,66k-85k,Finance,SQL,Somewhat happy,Very happy,Very unhappy,Very unhappy,Extremely unhappy,8.0,Neither easy nor difficult,Better Salary,Male,United States,Others,White or Caucasian,75.5,31-35
47,6/10/2022,9:02,0:02:47,Data Analyst,Yes,66k-85k,Manufacturing (Chemicals),R,Very happy,Extremely happy,Ecstatic,Extremely happy,Overjoyed,9.0,Difficult,Remote Work,Female,United States,Others,White or Caucasian,75.5,41-45
48,6/10/2022,9:02,0:00:56,Data Analyst,Yes,41k-65k,Finance,Python,Somewhat happy,Happy,Happy,Happy,Happy,6.0,Neither easy nor difficult,Remote Work,Male,United Kingdom,High School,White or Caucasian,53.0,31-35
49,6/10/2022,9:02,0:01:57,Business Intelligence Developer,Yes,150k-225k,Tech,Python,Ecstatic,Extremely happy,Overjoyed,Extremely happy,Extremely happy,10.0,Easy,Good Work/Life Balance,Male,United States,Others,Hispanic or Latino,187.5,36-40
50,6/10/2022,9:02,0:02:32,Data Analyst,No,0-40k,Tech,SQL,Extremely happy,Extremely happy,Extremely happy,Extremely happy,Somewhat happy,10.0,Easy,Better Salary,Female,India,Others,Indian,20.0,21-25
51,6/10/2022,9:03,0:01:59,Student/Looking/None,Yes,0-40k,Currently studying . Previously worked in Power Generation,R,Very unhappy,Somewhat unhappy,Happy,Happy,Happy,9.0,Difficult,Remote Work,Male,Barbados,Bachelors,Black or African American,20.0,36-40
52,6/10/2022,9:03,0:01:18,Data Engineer,No,66k-85k,Finance,Python,Unhappy,Very unhappy,Very unhappy,Very unhappy,Somewhat unhappy,7.0,Easy,Remote Work,Female,United States,Masters,Asian or Asian American,75.5,26-30
53,6/10/2022,9:05,0:08:11,Student/Looking/None,Yes,0-40k,"Not working at the moment, but previously I have been into Education industry",R,Neutral,Neutral,Neutral,Neutral,Neutral,7.0,Very Easy,I would say a combination of good work/life balance with a better pay and the exposure to a workplace that supposed growth,Male,South Africa,Others,African,20.0,26-30
54,6/10/2022,9:05,0:01:44,Data Analyst,Yes,66k-85k,Tech,Python,Happy,Happy,Happy,Happy,Somewhat happy,6.0,Difficult,Currently very happy with where I am.,Female,United States,Bachelors,Hispanic or Latino,75.5,21-25
55,6/10/2022,9:06,0:01:58,Business Analyst,No,41k-65k,Third Party Logistics ,C/C++,Somewhat unhappy,Happy,Very happy,Very happy,Extremely unhappy,3.0,Very Difficult,Better Salary,Male,United States,Bachelors,White or Caucasian,53.0,26-30
56,6/10/2022,9:07,0:02:15,Data Analyst,No,0-40k,Tech,Python,Neutral,Overjoyed,Ecstatic,Overjoyed,Overjoyed,10.0,Easy,Better Salary,Male,Colombia,Associates,Hispanic or Latino,20.0,26-30
57,6/10/2022,9:08,0:02:04,Business Analyst,Yes,41k-65k,Automotive,Python,Happy,Extremely happy,Extremely happy,Very happy,Overjoyed,7.0,Neither easy nor difficult,Good Work/Life Balance,Male,Germany,Masters,White or Caucasian,53.0,36-40
58,6/10/2022,9:08,0:01:46,Data Analyst,Yes,0-40k,Finance,None,Somewhat unhappy,Somewhat happy,Neutral,Somewhat unhappy,Somewhat unhappy,3.0,Difficult,Good Work/Life Balance,Male,Bulgaria,Masters,White or Caucasian,20.0,31-35
59,6/10/2022,9:09,0:01:33,Student/Looking/None,No,0-40k,Tech,Python,Very unhappy,Neutral,Somewhat happy,Somewhat happy,Very unhappy,1.0,Difficult,Better Salary,Male,United States,Masters,White or Caucasian,20.0,21-25
60,6/10/2022,9:09,0:01:09,Data Analyst,No,66k-85k,Telecommunication,Python,Neutral,Happy,Neutral,Somewhat happy,Neutral,4.0,Neither easy nor difficult,Better Salary,Male,United States,Masters,White or Caucasian,75.5,21-25
61,6/10/2022,9:12,0:04:03,Business Intelligence Consultant,Yes,41k-65k,Tech,Python,Happy,Very happy,Neutral,Somewhat unhappy,Overjoyed,8.0,Difficult,Better Salary,Male,Turkey,Bachelors,White or Caucasian,53.0,26-30
62,6/10/2022,9:13,0:01:03,Student/Looking/None,No,0-40k,Tech,Python,Very happy,Somewhat happy,Extremely happy,Extremely unhappy,Extremely unhappy,0.0,Neither easy nor difficult,Good Culture,Female,India,Bachelors,Asian or Asian American,20.0,21-25
63,6/10/2022,9:13,0:01:01,Data Engineer,No,0-40k,Tech,R,Unhappy,Somewhat unhappy,Unhappy,Somewhat happy,Somewhat happy,7.0,Neither easy nor difficult,Remote Work,Male,Spain,Masters,Hispanic or Latino,20.0,21-25
64,6/10/2022,9:14,0:02:43,Data Analyst,No,0-40k,Energy,Python,Neutral,Neutral,Neutral,Neutral,Somewhat happy,6.0,Neither easy nor difficult,Remote Work,Male,France,Bachelors,Human,20.0,26-30
65,6/10/2022,9:15,0:03:15,Data Analyst,Yes,41k-65k,Tech,Python,Somewhat happy,Happy,Very happy,Very happy,Very happy,6.0,Difficult,Better Salary,Male,United States,Bachelors,Asian or Asian American,53.0,21-25
66,6/10/2022,9:15,0:01:24,Data Analyst,No,41k-65k,Tech,Python,Happy,Happy,Happy,Happy,Somewhat unhappy,5.0,Difficult,Good Culture,Male,Germany,Masters,Black or African American,53.0,26-30
67,6/10/2022,9:16,0:01:28,Data Analyst,Yes,41k-65k,Tech,Python,Somewhat unhappy,Overjoyed,Ecstatic,Extremely happy,Overjoyed,9.0,Easy,Better Salary,Male,India,Bachelors,Asian or Asian American,53.0,21-25
68,6/10/2022,9:16,0:02:36,Senior Supply Chain Analyst,No,86k-105k,Food & Beverage ,R,Neutral,Somewhat unhappy,Somewhat unhappy,Somewhat happy,Somewhat happy,5.0,Difficult,Better Salary,Male,United States,Masters,Asian or Asian American,95.5,31-35
69,6/10/2022,9:17,0:02:41,Student/Looking/None,Yes,106k-125k,Healthcare,Python,Somewhat happy,Somewhat happy,Very happy,Somewhat happy,Very happy,7.0,Neither easy nor difficult,Remote Work,Male,India,Bachelors,Asian or Asian American,115.5,21-25
70,6/10/2022,9:17,0:04:14,Data Analyst,No,0-40k,Tech,Python,Unhappy,Overjoyed,Overjoyed,Extremely happy,Happy,2.0,Easy,Better Salary,Male,Thailand,Bachelors,Asian or Asian American,20.0,21-25
71,6/10/2022,9:18,0:01:15,Data Analyst,Yes,0-40k,Telecommunication,Python,Unhappy,Extremely happy,Happy,Happy,Somewhat happy,5.0,Neither easy nor difficult,Remote Work,Female,Germany,Masters,White or Caucasian,20.0,36-40
72,6/10/2022,9:19,0:02:21,Data Analyst,Yes,106k-125k,Tech,SQL,Ecstatic,Happy,Overjoyed,Somewhat happy,Extremely happy,7.0,Easy,Good Work/Life Balance,Female,United States,Bachelors,White or Caucasian,115.5,26-30
73,6/10/2022,9:19,0:02:17,Business Analyst,Yes,0-40k,Tech,Python,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,1.0,Neither easy nor difficult,My passion is to become a Data analyst ,Male,India,Bachelors,Asian or Asian American,20.0,21-25
74,6/10/2022,9:19,0:01:32,Student/Looking/None,Yes,0-40k,Tech,SQL,Unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,Somewhat unhappy,6.0,Very Difficult,Better Salary,Male,Netherlands,Bachelors,Black or African American,20.0,26-30
75,6/10/2022,9:20,0:01:19,Director of Data Analytics,No,86k-105k,Healthcare,Python,Overjoyed,Ecstatic,Ecstatic,Ecstatic,Ecstatic,10.0,Very Easy,Good Work/Life Balance,Female,United States,PhD,Hispanic or Latino,95.5,31-35
76,6/10/2022,9:20,0:01:33,Data Analyst,Yes,106k-125k,Automotive,Python,Somewhat unhappy,Somewhat happy,Somewhat unhappy,Somewhat unhappy,Somewhat happy,5.0,Easy,Better Salary,Male,Turkey,Masters,White or Caucasian,115.5,26-30
77,6/10/2022,9:21,0:01:38,Data Analyst,Yes,41k-65k,Education,R,Somewhat unhappy,Happy,Somewhat happy,Neutral,Somewhat unhappy,4.0,Neither easy nor difficult,Better Salary,Male,United States,Associates,White or Caucasian,53.0,41-45
78,6/10/2022,9:21,0:02:36,Data Analyst,Yes,0-40k,Tech,Python,Happy,Very happy,Extremely happy,Very happy,Very happy,8.0,Easy,Good Work/Life Balance,Male,Spain,Masters,White or Caucasian,20.0,26-30
79,6/10/2022,9:22,0:01:08,Data Analyst,No,125k-150k,Tech,Python,Neutral,Very happy,Happy,Neutral,Unhappy,4.0,Easy,Better Salary,Female,United States,Masters,Asian or Asian American,137.5,26-30
80,6/10/2022,9:22,0:01:41,Student/Looking/None,No,41k-65k,Healthcare,Python,Extremely unhappy,Ecstatic,Ecstatic,Ecstatic,Neutral,2.0,Neither easy nor difficult,Remote Work,Female,United States,Bachelors,Hispanic or Latino,53.0,36-40
81,6/10/2022,9:23,0:01:36,Data Analyst,Yes,41k-65k,Telecommunication,Python,Happy,Happy,Very happy,Somewhat happy,Happy,7.0,Difficult,Good Culture,Male,Denmark,Masters,White or Caucasian,53.0,31-35
82,6/10/2022,9:23,0:03:09,Data Analyst,Yes,66k-85k,Marketing,Python,Very happy,Very happy,Somewhat happy,Overjoyed,Very happy,8.0,Easy,Good Work/Life Balance,Male,Brazil,Bachelors,Hispanic or Latino,75.5,26-30
83,6/10/2022,9:25,0:01:22,Data Analyst,Yes,66k-85k,Education,R,Very happy,Very happy,Very happy,Very happy,Neutral,7.0,Easy,Remote Work,Male,United States,Masters,White or Caucasian,75.5,31-35
84,6/10/2022,9:26,0:01:30,Data Analyst,Yes,0-40k,Finance,Python,Ecstatic,Overjoyed,Overjoyed,Ecstatic,Overjoyed,10.0,Neither easy nor difficult,Good Culture,Male,Mexico,Masters,Hispanic or Latino,20.0,26-30
85,6/10/2022,9:26,0:03:05,Data Engineer,Yes,0-40k,Tech,Python,Very happy,Extremely happy,Happy,Somewhat happy,Somewhat happy,9.0,Difficult,Better Salary,Male,Mexico,Masters,Hispanic or Latino,20.0,31-35
86,6/10/2022,9:27,0:00:58,Data Analyst,No,66k-85k,Retail,Python,Very happy,Extremely happy,Overjoyed,Very happy,Very happy,7.0,Neither easy nor difficult,Better Salary,Male,United States,Bachelors,White or Caucasian,75.5,21-25
87,6/10/2022,9:27,0:01:09,Student/Looking/None,No,0-40k,Tech,R,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,Extremely unhappy,0.0,Neither easy nor difficult,Good Work/Life Balance,Male,India,Bachelors,Indian,20.0,21-25
88,6/10/2022,9:27,0:01:51,Data Analyst,Yes,41k-65k,Advertising,Other:Dont require,Neutral,Neutral,Somewhat unhappy,Somewhat unhappy,Somewhat happy,6.0,Very Difficult,Better Salary,Male,United States,Bachelors,Asian or Asian American,53.0,31-35
89,6/10/2022,9:27,0:02:29,Business Analyst,Yes,66k-85k,Logistics,Python,Very happy,Overjoyed,Overjoyed,Extremely happy,Extremely happy,9.0,Neither easy nor difficult,Good Work/Life Balance,Male,Chile,Bachelors,Hispanic or Latino,75.5,31-35
90,6/10/2022,9:27,0:02:39,Data Analyst,No,41k-65k,Staffing and Recruting ,Python,Happy,Extremely happy,Somewhat happy,Neutral,Happy,9.0,Neither easy nor difficult,Remote Work,Female,Greece,Masters,White or Caucasian,53.0,41-45
91,6/10/2022,9:29,0:01:14,Data Analyst,No,66k-85k,Tech,Python,Somewhat unhappy,Neutral,Unhappy,Very unhappy,Extremely unhappy,4.0,Neither easy nor difficult,Better Salary,Male,United States,Bachelors,White or Caucasian,75.5,21-25
92,6/10/2022,9:30,0:03:00,Data Analyst,No,86k-105k,Automotive,Python,Somewhat happy,Neutral,Somewhat happy,Neutral,Somewhat unhappy,6.0,Neither easy nor difficult,"Different job title, either product owner or consulting",Male,United States,Bachelors,White or Caucasian,95.5,21-25
93,6/10/2022,9:31,0:02:02,Learning Management Specialist,No,41k-65k,Healthcare,JavaScript,Unhappy,Neutral,Happy,Somewhat happy,Somewhat unhappy,4.0,Easy,Better Salary,Female,United States,Bachelors,Black or African American,53.0,51-55
94,6/10/2022,9:32,0:01:45,Data Analyst,No,0-40k,Telecommunication,Other,Very unhappy,Neutral,Neutral,Somewhat unhappy,Unhappy,6.0,Very Difficult,Better Salary,Male,United Kingdom,Bachelors,Black or African American,20.0,26-30
95,6/10/2022,9:33,0:01:41,Data Analyst,Yes,41k-65k,Finance,Python,Extremely happy,Overjoyed,Overjoyed,Overjoyed,Overjoyed,8.0,Very Difficult,Better Salary,Male,India,Bachelors,Asian or Asian American,53.0,21-25
96,6/10/2022,9:34,0:01:06,Research Analyst,Yes,41k-65k,Advertising,R,Somewhat unhappy,Somewhat happy,Somewhat happy,Happy,Somewhat unhappy,4.0,Neither easy nor difficult,Better Salary,Male,Canada,Bachelors,Asian or Asian American,53.0,21-25
97,6/10/2022,9:35,0:01:06,Student/Looking/None,Yes,41k-65k,Tech,Python,Happy,Happy,Happy,Happy,Happy,6.0,Easy,Good Culture,Male,Australia,Masters,Asian or Asian American,53.0,21-25
98,6/10/2022,9:35,0:02:22,Data Analyst,Yes,41k-65k,Finance,Python,Neutral,Neutral,Happy,Neutral,Somewhat happy,6.0,Difficult,Better Salary,Female,United States,Masters,Race isn't a thing,53.0,51-55
99,6/10/2022,9:36,0:01:56,Data Analyst,No,86k-105k,Biotech,R,Extremely happy,Ecstatic,Extremely happy,Very happy,Extremely happy,10.0,Very Easy,Remote Work,Female,United States,Masters,White or Caucasian,95.5,26-30
100,6/10/2022,9:36,0:01:10,Data Analyst,Yes,41k-65k,Consulting,Python,Overjoyed,Overjoyed,Overjoyed,Overjoyed,Very happy,4.0,Difficult,Better Salary,Male,Canada,Bachelors,Asian or Asian American,53.0,21-25
101,6/10/2022,9:37,0:00:28,Data Analyst,Yes,66k-85k,Consumer Elec,Python,Happy,Overjoyed,Very happy,Happy,Very happy,7.0,Neither easy nor difficult,Better Salary,Male,United States,Masters,White or Caucasian,75.5,26-30
102,6/10/2022,9:38,0:02:22,Insights Analyst,Yes,41k-65k,Consulting,Python,Extremely happy,Extremely happy,Overjoyed,Overjoyed,Ecstatic,10.0,Very Easy,Better Salary,Male,United Kingdom,Bachelors,White or Caucasian,53.0,31-35
103,6/10/2022,9:38,0:03:18,Data Analyst,Yes,0-40k,Tech,Python,Extremely happy,Ecstatic,Overjoyed,Overjoyed,Ecstatic,8.0,Neither easy nor difficult,Better Salary,Female,Costa Rica,Bachelors,Hispanic or Latino,20.0,26-30
104,6/10/2022,9:39,0:01:55,Student/Looking/None,No,0-40k,Semiconductor manufacturing,Other,Very happy,Overjoyed,Very happy,Extremely happy,Extremely happy,10.0,Neither easy nor difficult,Better Salary,Male,Vietnam,Bachelors,Asian or Asian American,20.0,21-25
105,6/10/2022,9:39,0:01:15,Student/Looking/None,Yes,0-40k,Healthcare,Python,Somewhat unhappy,Very happy,Very happy,Very happy,Very unhappy,2.0,Difficult,Better Salary,Male,United States,Masters,Black or African American,20.0,31-35
106,6/10/2022,9:40,0:02:07,Data Analyst,Yes,41k-65k,"Supply Chain - warehousing, transpiration and ",Other:Knowledge of Excel and SQL yet,Somewhat unhappy,Happy,Happy,Happy,Neutral,4.0,Easy,Better Salary,Male,Canada,Bachelors,Asian or Asian American,53.0,21-25
107,6/10/2022,9:40,0:01:05,Data Analyst,Yes,106k-125k,Finance,Python,Somewhat happy,Very unhappy,Neutral,Somewhat unhappy,Somewhat unhappy,4.0,Easy,Better Salary,Female,United States,Bachelors,White or Caucasian,115.5,36-40
108,6/10/2022,9:40,0:01:32,Data Analyst,No,41k-65k,Finance,Python,Somewhat happy,Somewhat happy,Somewhat happy,Somewhat happy,Neutral,5.0,Neither easy nor difficult,Good Culture,Male,Netherlands,Bachelors,Hispanic or Latino,53.0,26-30
